icd_code,long_title,frequency
S52042B,"Displaced fracture of coronoid process of left ulna, initial encounter for open fracture type I or II",1
S52031B,"Displaced fracture of olecranon process with intraarticular extension of right ulna, initial encounter for open fracture type I or II",1
S52025A,"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for closed fracture",1
82331,Open fracture of shaft of fibula alone,1
82139,Other open fracture of lower end of femur,1
82133,Open supracondylar fracture of femur,1
82131,"Open fracture of condyle, femoral",1
R196,Halitosis,1
R192,Visible peristalsis,1
R1912,Hyperactive bowel sounds,1
R1906,"Epigastric swelling, mass or lump",1
R10821,Right upper quadrant rebound abdominal tenderness,1
R10817,Generalized abdominal tenderness,1
S52291B,"Other fracture of shaft of right ulna, initial encounter for open fracture type I or II",1
S52251B,"Displaced comminuted fracture of shaft of ulna, right arm, initial encounter for open fracture type I or II",1
S52224A,"Nondisplaced transverse fracture of shaft of right ulna, initial encounter for closed fracture",1
S52211A,"Greenstick fracture of shaft of right ulna, initial encounter for closed fracture",1
S52202B,"Unspecified fracture of shaft of left ulna, initial encounter for open fracture type I or II",1
S52181B,"Other fracture of upper end of right radius, initial encounter for open fracture type I or II",1
82390,Open fracture of unspecified part of tibia alone,1
82380,Closed fracture of unspecified part of tibia alone,1
82340,"Torus fracture, tibia alone",1
R162,"Hepatomegaly with splenomegaly, not elsewhere classified",1
R152,Fecal urgency,1
R143,Flatulence,1
82534,"Open fracture of cuneiform, foot",1
82533,Open fracture of cuboid,1
83319,"Open dislocation of wrist, other",1
R10812,Left upper quadrant abdominal tenderness,1
8405,Subscapularis (muscle) sprain,1
83969,"Closed dislocation, other location",1
83906,"Closed dislocation, sixth cervical vertebra",1
S52352B,"Displaced comminuted fracture of shaft of radius, left arm, initial encounter for open fracture type I or II",1
S52352A,"Displaced comminuted fracture of shaft of radius, left arm, initial encounter for closed fracture",1
S52341B,"Displaced spiral fracture of shaft of radius, right arm, initial encounter for open fracture type I or II",1
S52325A,"Nondisplaced transverse fracture of shaft of left radius, initial encounter for closed fracture",1
S52322B,"Displaced transverse fracture of shaft of left radius, initial encounter for open fracture type I or II",1
83219,"Open dislocation of elbow, other",1
83212,Open posterior dislocation of elbow,1
83210,"Open dislocation of elbow, unspecified",1
R1115,Cyclical vomiting syndrome unrelated to migraine,1
R10829,"Rebound abdominal tenderness, unspecified site",1
R10823,Right lower quadrant rebound abdominal tenderness,1
8430,Iliofemoral (ligament) sprain,1
84209,Other sprains and strains of wrist,1
8481,Sprain of jaw,1
65883,"Other problems associated with amniotic cavity and membranes, antepartum",1
65803,"Oligohydramnios, antepartum condition or complication",1
65493,"Other and unspecified abnormality of organs and soft tissues of pelvis, antepartum condition or complication",1
65463,"Other congenital or acquired abnormality of cervix, antepartum condition or complication",1
65453,"Cervical incompetence, antepartum condition or complication",1
65444,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, postpartum condition or complication",1
65414,"Tumors of body of uterus, postpartum condition or complication",1
65213,"Breech or other malpresentation successfully converted to cephalic presentation, antepartum condition or complication",1
65143,"Triplet pregnancy with fetal loss and retention of one or more fetus(es), antepartum condition or complication",1
65133,"Twin pregnancy with fetal loss and retention of one fetus, antepartum condition or complication",1
S52392B,"Other fracture of shaft of radius, left arm, initial encounter for open fracture type I or II",1
S52391B,"Other fracture of shaft of radius, right arm, initial encounter for open fracture type I or II",1
8360,"Tear of medial cartilage or meniscus of knee, current",1
64892,"Other current conditions classifiable elsewhere of mother, delivered, with mention of postpartum complication",1
64873,"Bone and joint disorders of back, pelvis, and lower limbs of mother, antepartum condition or complication",1
64842,"Mental disorders of mother, delivered, with mention of postpartum complication",1
64841,"Mental disorders of mother, delivered, with or without mention of antepartum condition",1
S52522A,"Torus fracture of lower end of left radius, initial encounter for closed fracture",1
S52521A,"Torus fracture of lower end of right radius, initial encounter for closed fracture",1
S52513A,"Displaced fracture of unspecified radial styloid process, initial encounter for closed fracture",1
S52509A,"Unspecified fracture of the lower end of unspecified radius, initial encounter for closed fracture",1
S52502H,"Unspecified fracture of the lower end of left radius, subsequent encounter for open fracture type I or II with delayed healing",1
83903,"Closed dislocation, third cervical vertebra",1
83819,"Open dislocation of foot, other",1
83805,Closed dislocation of metatarsophalangeal (joint),1
83652,"Posterior dislocation of tibia, proximal end, closed",1
R0901,Asphyxia,1
R0683,Snoring,1
8442,Sprain of cruciate ligament of knee,1
8480,Sprain of septal cartilage of nose,1
8468,Sprain of other specified sites of sacroiliac region,1
84512,Sprain of metatarsophalangeal (joint) of foot,1
84501,"Sprain of deltoid (ligament), ankle",1
R041,Hemorrhage from throat,1
85175,"Cerebellar or brain stem laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",1
85146,"Cerebellar or brain stem contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration",1
85141,"Cerebellar or brain stem contusion without mention of open intracranial wound, with no loss of consciousness",1
S52612B,"Displaced fracture of left ulna styloid process, initial encounter for open fracture type I or II",1
S52611B,"Displaced fracture of right ulna styloid process, initial encounter for open fracture type I or II",1
S52602B,"Unspecified fracture of lower end of left ulna, initial encounter for open fracture type I or II",1
S52592D,"Other fractures of lower end of left radius, subsequent encounter for closed fracture with routine healing",1
S52552B,"Other extraarticular fracture of lower end of left radius, initial encounter for open fracture type I or II",1
S52539A,"Colles' fracture of unspecified radius, initial encounter for closed fracture",1
S52532D,"Colles' fracture of left radius, subsequent encounter for closed fracture with routine healing",1
S52532B,"Colles' fracture of left radius, initial encounter for open fracture type I or II",1
85191,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with no loss of consciousness",1
85190,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, unspecified state of consciousness",1
R012,Other cardiac sounds,1
Q992,Fragile X chromosome,1
Q9382,Williams syndrome,1
Q893,Situs inversus,1
Q8789,"Other specified congenital malformation syndromes, not elsewhere classified",1
64793,"Unspecified infection or infestation of mother, antepartum condition or complication",1
64624,"Unspecified renal disease in pregnancy, without mention of hypertension, postpartum condition or complication",1
64623,"Unspecified renal disease in pregnancy, without mention of hypertension, antepartum condition or complication",1
64613,"Edema or excessive weight gain in pregnancy, without mention of hypertension, antepartum condition or complication",1
64513,"Post term pregnancy, antepartum condition or complication",1
S52691B,"Other fracture of lower end of right ulna, initial encounter for open fracture type I or II",1
S52621G,"Torus fracture of lower end of right ulna, subsequent encounter for fracture with delayed healing",1
S52613A,"Displaced fracture of unspecified ulna styloid process, initial encounter for closed fracture",1
S52612D,"Displaced fracture of left ulna styloid process, subsequent encounter for closed fracture with routine healing",1
Q87410,Marfan's syndrome with aortic dilation,1
Q872,Congenital malformation syndromes predominantly involving limbs,1
Q871,Congenital malformation syndromes predominantly associated with short stature,1
Q860,Fetal alcohol syndrome (dysmorphic),1
Q858,"Other phakomatoses, not elsewhere classified",1
Q851,Tuberous sclerosis,1
Q8503,Schwannomatosis,1
Q8501,"Neurofibromatosis, type 1",1
Q774,Achondroplasia,1
S5422XA,"Injury of radial nerve at forearm level, left arm, initial encounter",1
S53195A,"Other dislocation of left ulnohumeral joint, initial encounter",1
S53144A,"Lateral dislocation of right ulnohumeral joint, initial encounter",1
S53025A,"Posterior dislocation of left radial head, initial encounter",1
S53015A,"Anterior dislocation of left radial head, initial encounter",1
S53004A,"Unspecified dislocation of right radial head, initial encounter",1
S53001A,"Unspecified subluxation of right radial head, initial encounter",1
85224,"Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",1
Q6689,Other specified congenital deformities of feet,1
Q644,Malformation of urachus,1
Q631,"Lobulated, fused and horseshoe kidney",1
Q628,Other congenital malformations of ureter,1
Q6239,Other obstructive defects of renal pelvis and ureter,1
S5701XA,"Crushing injury of right elbow, initial encounter",1
S56922A,"Laceration of unspecified muscles, fascia and tendons at forearm level, left arm, initial encounter",1
S56912A,"Strain of unspecified muscles, fascia and tendons at forearm level, left arm, initial encounter",1
S56427A,"Laceration of extensor muscle, fascia and tendon of right little finger at forearm level, initial encounter",1
S56426A,"Laceration of extensor muscle, fascia and tendon of left ring finger at forearm level, initial encounter",1
S56322A,"Laceration of extensor or abductor muscles, fascia and tendons of left thumb at forearm level, initial encounter",1
S56222A,"Laceration of other flexor muscle, fascia and tendon at forearm level, left arm, initial encounter",1
S56194A,"Other injury of flexor muscle, fascia and tendon of left middle finger at forearm level, initial encounter",1
S56128A,"Laceration of flexor muscle, fascia and tendon of left little finger at forearm level, initial encounter",1
Q8781,Alport syndrome,1
Q433,Congenital malformations of intestinal fixation,1
Q431,Hirschsprung's disease,1
Q321,Other congenital malformations of trachea,1
Q283,Other malformations of cerebral vessels,1
Q281,Other malformations of precerebral vessels,1
Q278,Other specified congenital malformations of peripheral vascular system,1
64393,"Unspecified vomiting of pregnancy, antepartum condition or complication",1
64274,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, postpartum condition or complication",1
64264,"Eclampsia, postpartum condition or complication",1
64263,"Eclampsia, antepartum condition or complication",1
64254,"Severe pre-eclampsia, postpartum condition or complication",1
S59001A,"Unspecified physeal fracture of lower end of ulna, right arm, initial encounter for closed fracture",1
Q740,"Other congenital malformations of upper limb(s), including shoulder girdle",1
85304,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre- existing conscious level",1
85252,"Extradural hemorrhage following injury with open intracranial wound, with brief [less than one hour] loss of consciousness",1
85231,"Subdural hemorrhage following injury with open intracranial wound, with no loss of consciousness",1
Q068,Other specified congenital malformations of spinal cord,1
Q046,Congenital cerebral cysts,1
Q02,Microcephaly,1
O9A413,"Sexual abuse complicating pregnancy, third trimester",1
O9A23,"Injury, poisoning and certain other consequences of external causes complicating the puerperium",1
O9A219,"Injury, poisoning and certain other consequences of external causes complicating pregnancy, unspecified trimester",1
6398,Other specified complications following abortion or ectopic and molar pregnancy,1
63791,"Unspecified abortion, without mention of complication, incomplete",1
S6000XA,"Contusion of unspecified finger without damage to nail, initial encounter",1
Q612,"Polycystic kidney, adult type",1
Q549,"Hypospadias, unspecified",1
Q5310,"Unspecified undescended testicle, unilateral",1
Q512,Other doubling of uterus,1
Q5002,"Congenital absence of ovary, bilateral",1
Q453,Other congenital malformations of pancreas and pancreatic duct,1
Q445,Other congenital malformations of bile ducts,1
O99411,"Diseases of the circulatory system complicating pregnancy, first trimester",1
86131,Contusion of lung with open wound into thorax,1
86130,Unspecified injury of lung with open wound into thorax,1
63402,"Spontaneous abortion, complicated by genital tract and pelvic infection, complete",1
63401,"Spontaneous abortion, complicated by genital tract and pelvic infection, incomplete",1
63381,Other ectopic pregnancy with intrauterine pregnancy,1
6310,Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy,1
62931,Erosion of implanted vaginal mesh and other prosthetic materials to surrounding organ or tissue,1
S60229A,"Contusion of unspecified hand, initial encounter",1
S60221D,"Contusion of right hand, subsequent encounter",1
S60219A,"Contusion of unspecified wrist, initial encounter",1
Q2732,Arteriovenous malformation of vessel of lower limb,1
Q253,Supravalvular aortic stenosis,1
Q231,Congenital insufficiency of aortic valve,1
Q203,Discordant ventriculoarterial connection,1
Q0700,Arnold-Chiari syndrome without spina bifida or hydrocephalus,1
86100,Unspecified injury of heart without mention of open wound into thorax,1
85406,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with loss of consciousness of unspecified duration",1
O99323,"Drug use complicating pregnancy, third trimester",1
O99322,"Drug use complicating pregnancy, second trimester",1
O99313,"Alcohol use complicating pregnancy, third trimester",1
O99312,"Alcohol use complicating pregnancy, second trimester",1
O99311,"Alcohol use complicating pregnancy, first trimester",1
O99281,"Endocrine, nutritional and metabolic diseases complicating pregnancy, first trimester",1
O99112,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, second trimester",1
S60392A,"Other superficial injuries of left thumb, initial encounter",1
S60361A,"Insect bite (nonvenomous) of right thumb, initial encounter",1
63510,"Legally induced abortion, complicated by delayed or excessive hemorrhage, unspecified",1
63501,"Legally induced abortion, complicated by genital tract and pelvic infection, incomplete",1
O99619,"Diseases of the digestive system complicating pregnancy, unspecified trimester",1
O9942,Diseases of the circulatory system complicating childbirth,1
O99413,"Diseases of the circulatory system complicating pregnancy, third trimester",1
O98813,"Other maternal infectious and parasitic diseases complicating pregnancy, third trimester",1
O98712,"Human immunodeficiency virus [HIV] disease complicating pregnancy, second trimester",1
O98711,"Human immunodeficiency virus [HIV] disease complicating pregnancy, first trimester",1
S60465A,"Insect bite (nonvenomous) of left ring finger, initial encounter",1
S60463A,"Insect bite (nonvenomous) of left middle finger, initial encounter",1
S60462A,"Insect bite (nonvenomous) of right middle finger, initial encounter",1
S60460A,"Insect bite (nonvenomous) of right index finger, initial encounter",1
S60453A,"Superficial foreign body of left middle finger, initial encounter",1
S60452A,"Superficial foreign body of right middle finger, initial encounter",1
S60445A,"External constriction of left ring finger, initial encounter",1
S60444A,"External constriction of right ring finger, initial encounter",1
S60440A,"External constriction of right index finger, initial encounter",1
S60426A,"Blister (nonthermal) of right little finger, initial encounter",1
S60422A,"Blister (nonthermal) of right middle finger, initial encounter",1
S60421A,"Blister (nonthermal) of left index finger, initial encounter",1
86112,"Laceration of heart without penetration of heart chambers, with open wound into thorax",1
O480,Post-term pregnancy,1
86350,"Injury to colon, unspecified site, with open wound into cavity",1
86345,"Injury to rectum, without mention of open wound into cavity",1
S60862A,"Insect bite (nonvenomous) of left wrist, initial encounter",1
S60521A,"Blister (nonthermal) of right hand, initial encounter",1
S60476A,"Other superficial bite of right little finger, initial encounter",1
S60474A,"Other superficial bite of right ring finger, initial encounter",1
O91112,"Abscess of breast associated with pregnancy, second trimester",1
O902,Hematoma of obstetric wound,1
O891,Cardiac complications of anesthesia during the puerperium,1
O88213,"Thromboembolism in pregnancy, third trimester",1
O8689,Other specified puerperal infections,1
O99111,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, first trimester",1
O9903,Anemia complicating the puerperium,1
O99013,"Anemia complicating pregnancy, third trimester",1
O98819,"Other maternal infectious and parasitic diseases complicating pregnancy, unspecified trimester",1
S61039A,"Puncture wound without foreign body of unspecified thumb without damage to nail, initial encounter",1
6289,"Infertility, female, of unspecified origin",1
6283,"Infertility, female, of uterine origin",1
6282,"Infertility, female, of tubal origin",1
6267,Postcoital bleeding,1
S61012S,"Laceration without foreign body of left thumb without damage to nail, sequela",1
S61001A,"Unspecified open wound of right thumb without damage to nail, initial encounter",1
S60947A,"Unspecified superficial injury of left little finger, initial encounter",1
S60943A,"Unspecified superficial injury of left middle finger, initial encounter",1
S60872A,"Other superficial bite of left wrist, initial encounter",1
O8609,"Infection of obstetric surgical wound, other surgical site",1
O80,Encounter for full-term uncomplicated delivery,1
O730,Retained placenta without hemorrhage,1
O711,Rupture of uterus during labor,1
O623,Precipitate labor,1
O6002,"Preterm labor without delivery, second trimester",1
86343,"Injury to descending [left] colon, without mention of open wound into cavity",1
86329,"Other injury to small intestine, without mention of open wound into cavity",1
86320,"Injury to small intestine, unspecified site, without open wound into cavity",1
8631,"Injury to stomach, with open wound into cavity",1
86239,Injury to other specified intrathoracic organs with open wound into cavity,1
86222,Injury to esophagus without mention of open wound into cavity,1
8620,"Injury to diaphragm, without mention of open wound into cavity",1
86132,Laceration of lung with open wound into thorax,1
O4593,"Premature separation of placenta, unspecified, third trimester",1
O4432,"Partial placenta previa with hemorrhage, second trimester",1
S61207A,"Unspecified open wound of left little finger without damage to nail, initial encounter",1
S61203A,"Unspecified open wound of left middle finger without damage to nail, initial encounter",1
S61201D,"Unspecified open wound of left index finger without damage to nail, subsequent encounter",1
S61152A,"Open bite of left thumb with damage to nail, initial encounter",1
S61151A,"Open bite of right thumb with damage to nail, initial encounter",1
S61132A,"Puncture wound without foreign body of left thumb with damage to nail, initial encounter",1
O4102X0,"Oligohydramnios, second trimester, not applicable or unspecified",1
O365910,"Maternal care for other known or suspected poor fetal growth, first trimester, not applicable or unspecified",1
O364XX1,"Maternal care for intrauterine death, fetus 1",1
O359XX0,"Maternal care for (suspected) fetal abnormality and damage, unspecified, not applicable or unspecified",1
O3480,"Maternal care for other abnormalities of pelvic organs, unspecified trimester",1
S61214S,"Laceration without foreign body of right ring finger without damage to nail, sequela",1
6249,Unspecified noninflammatory disorder of vulva and perineum,1
6245,Hematoma of vulva,1
6236,Vaginal hematoma,1
6232,Stricture or atresia of vagina,1
6227,Mucous polyp of cervix,1
6224,Stricture and stenosis of cervix,1
6218,"Other specified disorders of uterus, not elsewhere classified",1
S61213S,"Laceration without foreign body of left middle finger without damage to nail, sequela",1
S61213D,"Laceration without foreign body of left middle finger without damage to nail, subsequent encounter",1
S61212S,"Laceration without foreign body of right middle finger without damage to nail, sequela",1
O2686,Pruritic urticarial papules and plaques of pregnancy (PUPPP),1
61802,"Cystocele, lateral",1
61801,"Cystocele, midline",1
6178,Endometriosis of other specified sites,1
S61225A,"Laceration with foreign body of left ring finger without damage to nail, initial encounter",1
S61223A,"Laceration with foreign body of left middle finger without damage to nail, initial encounter",1
S61220A,"Laceration with foreign body of right index finger without damage to nail, initial encounter",1
S61219D,"Laceration without foreign body of unspecified finger without damage to nail, subsequent encounter",1
S61217S,"Laceration without foreign body of left little finger without damage to nail, sequela",1
S61217D,"Laceration without foreign body of left little finger without damage to nail, subsequent encounter",1
O4431,"Partial placenta previa with hemorrhage, first trimester",1
O4413,"Complete placenta previa with hemorrhage, third trimester",1
O4290,"Premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, unspecified weeks of gestation",1
O42012,"Preterm premature rupture of membranes, onset of labor within 24 hours of rupture, second trimester",1
O411220,"Chorioamnionitis, second trimester, not applicable or unspecified",1
O4103X0,"Oligohydramnios, third trimester, not applicable or unspecified",1
O26812,"Pregnancy related exhaustion and fatigue, second trimester",1
O2663,Liver and biliary tract disorders in the puerperium,1
O26613,"Liver and biliary tract disorders in pregnancy, third trimester",1
S61244A,"Puncture wound with foreign body of right ring finger without damage to nail, initial encounter",1
S61242A,"Puncture wound with foreign body of right middle finger without damage to nail, initial encounter",1
S61240A,"Puncture wound with foreign body of right index finger without damage to nail, initial encounter",1
S61230D,"Puncture wound without foreign body of right index finger without damage to nail, subsequent encounter",1
6214,Hematometra,1
62130,"Endometrial hyperplasia, unspecified",1
O34591,"Maternal care for other abnormalities of gravid uterus, first trimester",1
O3432,"Maternal care for cervical incompetence, second trimester",1
O318X10,"Other complications specific to multiple gestation, first trimester, not applicable or unspecified",1
O3111X0,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, not applicable or unspecified",1
O30041,"Twin pregnancy, dichorionic/diamniotic, first trimester",1
O2941,"Spinal and epidural anesthesia induced headache during pregnancy, first trimester",1
O26872,"Cervical shortening, second trimester",1
S61311D,"Laceration without foreign body of left index finger with damage to nail, subsequent encounter",1
61650,"Ulceration of vulva, unspecified",1
6146,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)",1
S61307A,"Unspecified open wound of left little finger with damage to nail, initial encounter",1
S61306A,"Unspecified open wound of right little finger with damage to nail, initial encounter",1
S61303A,"Unspecified open wound of left middle finger with damage to nail, initial encounter",1
S61302A,"Unspecified open wound of right middle finger with damage to nail, initial encounter",1
S61301A,"Unspecified open wound of left index finger with damage to nail, initial encounter",1
86502,"Injury to spleen without mention of open wound into cavity, capsular tears, without major disruption of parenchyma",1
86409,Other injury to liver without mention of open wound into cavity,1
86404,"Injury to liver without mention of open wound into cavity, laceration, major",1
86403,"Injury to liver without mention of open wound into cavity, laceration, moderate",1
86353,"Injury to descending [left] colon, with open wound into cavity",1
O26842,"Uterine size-date discrepancy, second trimester",1
O26832,"Pregnancy related renal disease, second trimester",1
O26813,"Pregnancy related exhaustion and fatigue, third trimester",1
O24919,"Unspecified diabetes mellitus in pregnancy, unspecified trimester",1
O24912,"Unspecified diabetes mellitus in pregnancy, second trimester",1
O24911,"Unspecified diabetes mellitus in pregnancy, first trimester",1
O24414,"Gestational diabetes mellitus in pregnancy, insulin controlled",1
O24319,"Unspecified pre-existing diabetes mellitus in pregnancy, unspecified trimester",1
O24311,"Unspecified pre-existing diabetes mellitus in pregnancy, first trimester",1
O2412,"Pre-existing type 2 diabetes mellitus, in childbirth",1
O2403,"Pre-existing type 1 diabetes mellitus, in the puerperium",1
O24019,"Pre-existing type 1 diabetes mellitus, in pregnancy, unspecified trimester",1
6119,Unspecified breast disorder,1
6111,Hypertrophy of breast,1
S61345A,"Puncture wound with foreign body of left ring finger with damage to nail, initial encounter",1
S61341A,"Puncture wound with foreign body of left index finger with damage to nail, initial encounter",1
S61334A,"Puncture wound without foreign body of right ring finger with damage to nail, initial encounter",1
S61325A,"Laceration with foreign body of left ring finger with damage to nail, initial encounter",1
S61313D,"Laceration without foreign body of left middle finger with damage to nail, subsequent encounter",1
8672,"Injury to ureter, without mention of open wound into cavity",1
8671,"Injury to bladder and urethra, with open wound into cavity",1
S61521A,"Laceration with foreign body of right wrist, initial encounter",1
S61502A,"Unspecified open wound of left wrist, initial encounter",1
S61441A,"Puncture wound with foreign body of right hand, initial encounter",1
S61432D,"Puncture wound without foreign body of left hand, subsequent encounter",1
6081,Spermatocele,1
60499,"Other orchitis, epididymitis, and epididymo-orchitis, without mention of abscess",1
O23511,"Infections of cervix in pregnancy, first trimester",1
O2332,"Infections of other parts of urinary tract in pregnancy, second trimester",1
O2311,"Infections of bladder in pregnancy, first trimester",1
O2242,"Hemorrhoids in pregnancy, second trimester",1
O2233,"Deep phlebothrombosis in pregnancy, third trimester",1
O2652,"Maternal hypotension syndrome, second trimester",1
O2651,"Maternal hypotension syndrome, first trimester",1
O2631,"Retained intrauterine contraceptive device in pregnancy, first trimester",1
S62022A,"Displaced fracture of middle third of navicular [scaphoid] bone of left wrist, initial encounter for closed fracture",1
6031,Infected hydrocele,1
6018,Other specified inflammatory diseases of prostate,1
6012,Abscess of prostate,1
6011,Chronic prostatitis,1
60090,"Hyperplasia of prostate, unspecified, without urinary obstruction and other lower urinary symptoms (LUTS)",1
6003,Cyst of prostate,1
5999,Unspecified disorder of urethra and urinary tract,1
59989,Other specified disorders of urinary tract,1
S62011A,"Displaced fracture of distal pole of navicular [scaphoid] bone of right wrist, initial encounter for closed fracture",1
S62002B,"Unspecified fracture of navicular [scaphoid] bone of left wrist, initial encounter for open fracture",1
S62001K,"Unspecified fracture of navicular [scaphoid] bone of right wrist, subsequent encounter for fracture with nonunion",1
O2221,"Superficial thrombophlebitis in pregnancy, first trimester",1
O169,"Unspecified maternal hypertension, unspecified trimester",1
O161,"Unspecified maternal hypertension, first trimester",1
O1503,"Eclampsia complicating pregnancy, third trimester",1
86513,"Injury to spleen with open wound into cavity, laceration extending into parenchyma",1
86512,"Injury to spleen with open wound into cavity, capsular tears, without major disruption of parenchyma",1
O1413,"Severe pre-eclampsia, third trimester",1
O1405,"Mild to moderate pre-eclampsia, complicating the puerperium",1
O1403,"Mild to moderate pre-eclampsia, third trimester",1
O1211,"Gestational proteinuria, first trimester",1
O1205,"Gestational edema, complicating the puerperium",1
O1203,"Gestational edema, third trimester",1
O10912,"Unspecified pre-existing hypertension complicating pregnancy, second trimester",1
S62171A,"Displaced fracture of trapezium [larger multangular], right wrist, initial encounter for closed fracture",1
S62131A,"Displaced fracture of capitate [os magnum] bone, right wrist, initial encounter for closed fracture",1
S62122B,"Displaced fracture of lunate [semilunar], left wrist, initial encounter for open fracture",1
S62121A,"Displaced fracture of lunate [semilunar], right wrist, initial encounter for closed fracture",1
S62102B,"Fracture of unspecified carpal bone, left wrist, initial encounter for open fracture",1
S62101D,"Fracture of unspecified carpal bone, right wrist, subsequent encounter for fracture with routine healing",1
S62031A,"Displaced fracture of proximal third of navicular [scaphoid] bone of right wrist, initial encounter for closed fracture",1
O0337,Sepsis following incomplete spontaneous abortion,1
O0334,Damage to pelvic organs following incomplete spontaneous abortion,1
O0331,Shock following incomplete spontaneous abortion,1
8719,Unspecified open wound of eyeball,1
S62300B,"Unspecified fracture of second metacarpal bone, right hand, initial encounter for open fracture",1
S62291A,"Other fracture of first metacarpal bone, right hand, initial encounter for closed fracture",1
S62252B,"Displaced fracture of neck of first metacarpal bone, left hand, initial encounter for open fracture",1
S62242A,"Displaced fracture of shaft of first metacarpal bone, left hand, initial encounter for closed fracture",1
S62241A,"Displaced fracture of shaft of first metacarpal bone, right hand, initial encounter for closed fracture",1
S62234A,"Other nondisplaced fracture of base of first metacarpal bone, right hand, initial encounter for closed fracture",1
S62222A,"Displaced Rolando's fracture, left hand, initial encounter for closed fracture",1
S62221A,"Displaced Rolando's fracture, right hand, initial encounter for closed fracture",1
S62212A,"Bennett's fracture, left hand, initial encounter for closed fracture",1
S62211A,"Bennett's fracture, right hand, initial encounter for closed fracture",1
S62201B,"Unspecified fracture of first metacarpal bone, right hand, initial encounter for open fracture",1
86514,"Injury to spleen with open wound into cavity, massive parenchyma disruption",1
O020,Blighted ovum and nonhydatidiform mole,1
O0081,Other ectopic pregnancy with intrauterine pregnancy,1
O0001,Abdominal pregnancy with intrauterine pregnancy,1
5993,Urethral caruncle,1
5991,Urethral fistula,1
S62307D,"Unspecified fracture of fifth metacarpal bone, left hand, subsequent encounter for fracture with routine healing",1
S62307B,"Unspecified fracture of fifth metacarpal bone, left hand, initial encounter for open fracture",1
S62306B,"Unspecified fracture of fifth metacarpal bone, right hand, initial encounter for open fracture",1
S62304B,"Unspecified fracture of fourth metacarpal bone, right hand, initial encounter for open fracture",1
S62302B,"Unspecified fracture of third metacarpal bone, right hand, initial encounter for open fracture",1
S62301A,"Unspecified fracture of second metacarpal bone, left hand, initial encounter for closed fracture",1
O09811,"Supervision of pregnancy resulting from assisted reproductive technology, first trimester",1
O0932,"Supervision of pregnancy with insufficient antenatal care, second trimester",1
O081,Delayed or excessive hemorrhage following ectopic and molar pregnancy,1
O0487,Sepsis following (induced) termination of pregnancy,1
O0387,Sepsis following complete or unspecified spontaneous abortion,1
87323,"Open wound of nasal sinus, without mention of complication",1
8731,"Open wound of scalp, complicated",1
87279,"Open wound of other and multiple sites of ear, complicated",1
87271,"Open wound of ear drum, complicated",1
87211,"Open wound of auricle, ear, complicated",1
87210,"Open wound of external ear, unspecified site, complicated",1
N9972,Accidental puncture and laceration of a genitourinary system organ or structure during other procedure,1
S62326B,"Displaced fracture of shaft of fifth metacarpal bone, right hand, initial encounter for open fracture",1
S62323B,"Displaced fracture of shaft of third metacarpal bone, left hand, initial encounter for open fracture",1
S62322B,"Displaced fracture of shaft of third metacarpal bone, right hand, initial encounter for open fracture",1
S62315B,"Displaced fracture of base of fourth metacarpal bone, left hand, initial encounter for open fracture",1
S62313B,"Displaced fracture of base of third metacarpal bone, left hand, initial encounter for open fracture",1
S62311B,"Displaced fracture of base of second metacarpal bone, left hand, initial encounter for open fracture",1
5995,Prolapsed urethral mucosa,1
8691,Internal injury to unspecified or ill-defined organs with open wound into cavity,1
86809,Injury to other and multiple intra-abdominal organs without mention of open wound into cavity,1
N86,Erosion and ectropion of cervix uteri,1
N859,"Noninflammatory disorder of uterus, unspecified",1
N842,Polyp of vagina,1
S62352A,"Nondisplaced fracture of shaft of third metacarpal bone, right hand, initial encounter for closed fracture",1
S62347A,"Nondisplaced fracture of base of fifth metacarpal bone, left hand, initial encounter for closed fracture",1
S62343B,"Nondisplaced fracture of base of third metacarpal bone, left hand, initial encounter for open fracture",1
S62341A,"Nondisplaced fracture of base of second metacarpal bone, left hand, initial encounter for closed fracture",1
S62337B,"Displaced fracture of neck of fifth metacarpal bone, left hand, initial encounter for open fracture",1
S62334A,"Displaced fracture of neck of fourth metacarpal bone, right hand, initial encounter for closed fracture",1
